,Comp,A1,A2,yA2,TotEng,DHmix,DHmix_in_meV
1641,Ma3Ea5-Pb8I24,Ma,Ea,0.6573422551391899,-61.38449423625,1.2828201104831578,1282.8201104831578
1642,Ma5Ea3-Pb8I24,Ma,Ea,0.3441521693323215,-57.22104107125,0.8794196876826454,879.4196876826454
1643,Ma0Ea8-Pb8I24,Ma,Ea,0.9632510149540373,-67.5308821175,-0.4028885200144856,-402.8885200144856
1644,Ma1Ea7-Pb8I24,Ma,Ea,0.9050452881348042,-65.48035783125,0.7988955142248741,798.8955142248742
1645,Ma1Ea7-Pb8I24,Ma,Ea,0.9050452881348042,-65.54803568625,0.7312176592248747,731.2176592248748
1646,Ma0Ea8-Pb8I24,Ma,Ea,0.9632510149540373,-67.526805965,-0.39881236751448057,-398.81236751448057
1647,Ma4Ea4-Pb8I24,Ma,Ea,0.5071387887268749,-59.26580156625,1.2112862357382,1211.2862357382
1648,Ma4Ea4-Pb8I24,Ma,Ea,0.5071387887268749,-59.28187759125,1.195210210738196,1195.210210738196
1649,Ma4Ea4-Pb8I24,Ma,Ea,0.5071387887268749,-59.25579636875,1.2212914332381999,1221.2914332382
1650,Ma6Ea2-Pb8I24,Ma,Ea,0.24374975803135268,-55.14881974,1.4876000640845213,1487.6000640845214
1651,Ma4Ea4-Pb8I24,Ma,Ea,0.5071387887268749,-59.2839636375,1.1931241644881965,1193.1241644881966
1652,Ma8Ea0-Pb8I24,Ma,Ea,0.03864184404299542,-51.00687665,2.6387147232585373,2638.714723258537
1653,Ma2Ea6-Pb8I24,Ma,Ea,0.6909277543336385,-63.45676088875,-0.2997118267588874,-299.7118267588874
1654,Ma2Ea6-Pb8I24,Ma,Ea,0.6909277543336385,-63.40916164625,-0.2521125842588887,-252.11258425888872
1655,Ma2Ea6-Pb8I24,Ma,Ea,0.6909277543336385,-63.459761325,-0.30271226300889253,-302.71226300889253
1656,Ma2Ea6-Pb8I24,Ma,Ea,0.6909277543336385,-63.53839057875,-0.38134151675888717,-381.34151675888717
1657,Ma7Ea1-Pb8I24,Ma,Ea,0.1602608666224994,-53.05479219125,2.364215055570069,2364.215055570069
1658,Ma2Ea6-Pb8I24,Ma,Ea,0.7987826416153886,-63.42175783875,1.308002178236734,1308.002178236734
1659,Ma2Ea6-Pb8I24,Ma,Ea,0.7987826416153886,-63.40933698375,1.3204230332367288,1320.4230332367288
1660,Ma2Ea6-Pb8I24,Ma,Ea,0.7987826416153886,-63.4051844175,1.324575599486728,1324.5755994867282
1661,Ma2Ea6-Pb8I24,Ma,Ea,0.7987826416153886,-63.43675427375,1.2930057432367335,1293.0057432367335
1662,Ma5Ea3-Pb8I24,Ma,Ea,0.4265047451068006,-57.2078392075,2.0934646597684967,2093.464659768497
1663,Ma5Ea3-Pb8I24,Ma,Ea,0.4265047451068006,-57.196926875,2.104376992268495,2104.376992268495
1664,Ma3Ea5-Pb8I24,Ma,Ea,0.6805938665319015,-61.35569094875,1.6506721409769938,1650.672140976994
1665,Ma3Ea5-Pb8I24,Ma,Ea,0.6805938665319015,-61.37214066125,1.6342224284769955,1634.2224284769954
1666,Ma0Ea8-Pb8I24,Ma,Ea,0.9609505365834894,-67.6190402325,-0.5245915918196573,-524.5915918196573
1667,Ma2Ea6-Pb8I24,Ma,Ea,0.7908427142373623,-63.4515509975,1.1624311341817233,1162.4311341817233
1668,Ma2Ea6-Pb8I24,Ma,Ea,0.7814595784117494,-63.396989345,1.0801704239954262,1080.170423995426
